,nr cam,mp,parter,et1-2,et3+,etaj max,typ_decom,bloc nou,Price/Surface,Price,WebPage
66,2,88,1,0,0,0,1,1,669.32,58900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-X9LP0000K?lista=2349706&listing=1
67,1,38,0,1,0,2,1,1,1039.47,39500,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/berceni/garsoniera-de-vanzare-XA3B00034?lista=2349706&listing=1
68,1,47.38,0,0,1,5,0,1,1709.58,81000,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/aviatiei/garsoniera-de-vanzare-XAI70000R?lista=2349706&listing=1
69,4,161,0,0,1,5,1,1,2420.5,389700,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-4-camere-X2F71004K?lista=2349706&listing=1
70,2,55.47,0,1,0,2,1,1,1712.64,95000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatiei/apartament-de-vanzare-2-camere-XAI70001V?lista=2349706&listing=1
71,4,100,0,0,1,3,1,1,2150,215000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/domenii/apartament-de-vanzare-4-camere-X9TB0000V?lista=2349706&listing=1
72,2,54.17,0,1,0,1,0,1,1753.74,95000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatiei/apartament-de-vanzare-2-camere-XAI700019?lista=2349706&listing=1
73,1,31,0,1,0,1,1,0,887.1,27500,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/militari/garsoniera-de-vanzare-XC270000H?lista=2349706&listing=1
74,3,71,0,0,1,4,0,1,1316.9,93500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/nord/apartament-de-vanzare-3-camere-X49J00052?lista=2349706&listing=1
75,3,82,0,0,1,4,1,1,2268.29,186000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/domenii/apartament-de-vanzare-3-camere-X9TB0000A?lista=2349706&listing=1
76,2,60,0,1,0,1,1,1,1081.67,64900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/straulesti/apartament-de-vanzare-2-camere-XAF71000J?lista=2349706&listing=1
